text,sentiment
happy star war day everyone! enjoy holiday (uk),positive
mile i`m essex give plenty warning arrive time get least one free beers.,neutral
"snoring annoying n keep sleeping (like right now, lol) honestly wud miss eva left love him.",neutral
miss bby wish going tomorrow make good.,negative
well im working isn`t quite ready post publicly (still beta testing) cool new script coded,positive
sweeeeet - san fran awesome!!!! love,positive
_mounce yes last way past bedtime!,neutral
hi ??? *just joined twitter...*,neutral
waiting sleeping pill kick in... gonna tired work tomorrow,negative
eating ice cream getting ready graduation.,neutral
happy mother day mum,positive
"casey`s gone?!?! why?! so, piddled little carpet. she`s prolly freaked cause it`s new. get back?",negative
hemp cloth marvelous unfortunately,negative
gonna read story bout adam lambert online bed. nighty night,neutral
saw none 3d - baddie`s best,positive
4am. im beach. pretty,positive
"certainly cheer than, huh?",neutral
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces starting emerge hand! ouch!",negative
realy wanted go cause nice everybodys busy,negative
awesome. i`m ocean beach (if know is.) way. 'yourbiggestfan' i`m re-al big fan you-rs.,positive
least get watch time let`s go pens!!,neutral
cool wear black time go,neutral
haha know work blip apart obvious! thanks reblipping song nice day ****,positive
safe trip joshy poo.......you`ll knock dead speech,positive
"woof, wish allowed go",positive
u friendster add me!!!!!!!!! email adress add loco_crime_1st.com add leave comment,neutral
tickets.......?,neutral
"thank you, afrin nasal spray! also, got giant teacup tonight!",positive
acsm. it`s unfathomable. think one .. .. one kept comfort bedrooms. yes?,neutral
"aww, love daddy! work 7 day week almost day still try go sf u",positive
many test todayyy don`t feel confident anyy.,negative
graduation done im little sad.. anyone want hang out???,negative
hahaa awesomee !,positive
holy smokes! star trek freaking awesomeeeee,positive
"hate fallout 3 keep making jump, i`m also low health, money, ammo food don`t worry i`ll get it.",neutral
"it! itunes, lost songs.",neutral
what`s gloomy weather? sun must tired come play heading victoria garden impulse buy haha,neutral
"looking forward next week: maths, geography, english french exams, totalling 7 hour",negative
"poor get outside sleep garden, sun good. don`t forget suncream!!!",negative
well,negative
prob hun,positive
"dads, watching mtv going sims2 minutee",neutral
absolutely,neutral
what`s matter chickadee?,neutral
hey mia! totally adore music. cd out?,positive
"shopping. cleaning. bmfing. webcam chatting nephews. nothing spesh, good bank holiday monday nonetheless",positive
=o need ask something? lmao love,positive
splinter look painful...but heroic saving mr. pickle,negative
sad?,negative
nice see tweeting! it`s sunday 10th may we`re celebrating mother`s day today. nice yer mom,positive
decided 2 trans frm relaxed 2 natural hair wish whole head looked like roots. age instant gratification....,positive
namaskar & namaste r same. marathi people say namaskar! marathi word.... ? ...naaaah !,neutral
"congrats! cuss like matter minutes, didn`t know reward it.",neutral
humous dorito`s.... oh yes,neutral
"missed awesome weather, movie!",negative
today going normal day hope. group pilot large airline come last night much drink,neutral
"kid terrible! good evans, i`d call childline",negative
"unfortunatley, aerlingus longer fly copenhagen we`re fly ryanair billund drive copenhagen one days!",negative
"what`s sad actually google term. sucks, tho.",negative
hate fighting,negative
"watched too!!! didnt want win, put good fight..lol",neutral
car-warmed sprite taste like sore throat,negative
came 11th cross country beat dumbo,neutral
candle wax enjoyable.,positive
"she`s unassuming unpretentious. she`s just, as. suppose that`s she`s endearing--because relate",positive
tomorrow valeria`s lunch!!! going get hair done im arraving late got cousin babtizm whatever spell,neutral
goooooddd morning tweets!! week three workout. mention got new glass yesterday?!?,positive
too. hate computer much..,negative
fine! going big walk today 20 mile,positive
want red cruisers!! don`t like ones. lmfao!,negative
mmmmmmmm... ? morning,neutral
neither,neutral
"10 hour work do, sunday. boo. find time two hour lunchbreak though. yeah",neutral
bugger. forgot still washing machine,negative
"_laurie sending love, blessing & healing thought & family peace",positive
back hurts...really bad,negative
"ah yes, know feeling",neutral
night cooker dad,neutral
modem offline week now... god bless 3g network. tim left... again!! may schedule brutal,negative
nope coquitlam,neutral
parent teacher thing yesterday!! boring going skl saturday!! lol,negative
sound like fun hope see everyone else there!,positive
big booming thunder storm almost here. maybe go home early??? ah... probably not.,neutral
bevvies 2day twn..great day off!!,positive
first night myers. w/out lydia! i`m actually excited summer!,positive
good morning,positive
best show ever!,positive
url previous post (to timer job) i`d removed space messed url. ^es,negative
think iv hurt tooth eilish cassie drawing competiton draw cooky pineapple haha :l .,neutral
want know audition mander! text or...reply please!,neutral
even nooooo secret namerebecca please,negative
miss neice can`t wait see bad n grown ****! lol,negative
need get computer fixed,neutral
really hope car`s illness terminal...,negative
"cool people want find following today , guess english don`t tweet.",neutral
sir...i woulda put honey...but don`t,neutral
watched x-men origins: wolverine? totally loved it! haha,positive
voted!!! u personal myspace? keep talking fake <3 you. u helped thru hrdest time life! (: x,positive
i`m sad missed guy last night!,negative
finally got call marriage counseling 3 day late....,neutral
ok,neutral
_420 baby?,neutral
today last day high school ended going home sick! ... stupid dead rat,negative
we`re impromptu pool party... except don`t know swim can`t get,neutral
lost tooth 2day whilst eating gum...oww,negative
happy 1 year! <3,positive
"oh, hella forgot say official good morning like hear it? go! goooooooooooood morrrrrrrrning twitterville! lol",positive
*phew* make note case anyone else run issue,neutral
?? vote every day !!!!!,negative
i`m starving!! diet killing can`t eat 8pm,negative
talk,neutral
im soo bored...im deffo missing music channel,negative
nite nite bday girl fun concert,positive
"nicotine replacement patch 4 hours. far, good, sleep 4 hours. getting bit twitchy",neutral
_sanderson what`s twatter lately? either can`t get reply don`t turn up!,neutral
sleeping. lost voice couple day ago.,negative
- hate parked car get hit,negative
i`ve heard fall. i`m waiting too!,neutral
nightmares? *huggles*,neutral
creeper feel disappointed it. **** cyberstalking skill internet = privacy.,negative
going bed late headache,negative
happy mother`s day mom there...,positive
grabbing coffee making mom breakfast,neutral
im thinking im going fun tonight....and maybe change coming,positive
thanks. major chop.,neutral
"haha know, cant handle fame! thank you!",positive
got updated ipod,neutral
yes! sober hahaha tanghaling tapat dude! haha wild. don`t knowwww plan plan go us!,positive
never miss icarly - son huge crush miranda,positive
saw james carville store today. head really bald,neutral
yellow ?,neutral
mean you`re going come back vancouver way! hahah,neutral
feeling smooth like chrome,positive
ew traffic,negative
"downloading song trying sneak lil homework too, main priority song lol",neutral
alone...i need coffee too.,neutral
sound like,neutral
bad day day realize mess you`ve put one happiest day life...,neutral
walking class. hate bike....especially mine.,negative
_nesmith,neutral
"failed inspection. know pa wo/oven, wo/anti-tip bracket, sold w/oven? worse taxes.",negative
"jonas brother - live party. it`s rocking hard love song,",positive
happy mother`s day mother world.,positive
"35mins 1hr 20mins google wave demo, look lot fun, would love test though.",positive
sleepy tabz heading bed. fun night! listened next episode joss`d!,positive
exception short dude: larenz fineass tate yum,neutral
"screw reviews, thought wolverine awesome. enough dominic monaghan liking.",positive
"followed u recently, please dont offended haven`t followed back. hit limit. hopefully free soon.",positive
yes work 6 3...,neutral
"hmmm, maybe that`s meant. eluded something brand new know medium",neutral
done spa meeting vic late lunch!,neutral
happy monday going tavares today. hope everyone blessed day!,positive
always wanted go oz,neutral
thx,neutral
- cool... luv,positive
that`s need there...to represent blackberry,positive
okay i`m dedicating 300th tweet fact i`m going apple store huge crack glass screen!,neutral
could ever actually allowed stay,neutral
let know turn out!!,neutral
sa detect? long isn`t back sass! haha,neutral
"yeah thinking ,ahaha",positive
sport bar shatranjanpoli rest ph 26498457 sport bar andheri w 26733333 dont know whether helps. google ki jai ho,neutral
i`m sleeping accepts appology,negative
"wolverine boss! seriously, will.i.am it, **** ??",negative
"live pain, bring",neutral
"okay, i`m back later!",neutral
powerblog challenge keep talking about? i`m newbie follower,neutral
almost died. laptop screen set 100% brightness reinstalled window vista. got headache,positive
waiting tish get off. got drive mom crv pick duckie. first time,neutral
"trying decide movie friends.. going well! lol :p bible study 2nite, mean ****-day cake buy own??",negative
going shower don`t want smell school tomorrow,neutral
sigh... know am...,neutral
"discovered cause bug new 4 build. publishing bug fix now, hopefully new beta tomorrow",positive
4 free twitter tool get follower,neutral
got home work.... chugging big bottle apple juice.,neutral
yes does. please dont` go. die cry.. normally lead small animal getting harmed,negative
writing report card soooo tired amazing day. check fb soon!,positive
big brother...and i`m done,neutral
good news: finally finished workout paused 6 hours. bad news: resistance band torn,neutral
"well good morning all, wonderful day neighborhood thanks following another 60 morning",positive
ftsk mercy mercedes amazing tonight.. always,positive
hope ok!,positive
can`t school done already? hurt much... seeing every day,positive
"waited, listening wind blowing tumbleweed? none old enough know someone say 'crackerack'?",neutral
hell yeah!,neutral
shirt dinner? need ask?? actually ville it?,neutral
know!!,neutral
huh ****? smelly? noooo. love alex vixon,neutral
"went party last night. dindin showed matching outfit ) great mind think alike ) anyway, happy birthday, ate lara",positive
"happy b-day! woke side earth, wish bit late",positive
"thank teaching value better person day love much, you`re best mum world",positive
happy mother day.!,positive
"*laughs* i`m glad self confidence - it`s wonderful trait i`ll applaud extra loud it, okay?",positive
thanks,positive
twittering 2 days!,neutral
getting ready week nice today stuck inside working!,positive
tres depressed,negative
"felt like ****, behaved like son; ate compensate. pigged home-roasted sugar almonds. painful tum, threw up, still feel sick.",negative
happy mother day people. love mom lot still,positive
i`m sorry hear that.,negative
"that`s awesome dude, yay surprise celebrities! got meet year ago, soooo friendly.",positive
"make happy hear girl talk, tweet, nba. but... could give nugget love?!",positive
getting hang twitter.,neutral
know neck jacked forced pay parking bc can`t turn head parallel park free spaces...,negative
want back now!:,neutral
going miss roomie ... longer roomy starting tomorrow,negative
"bathing two little angels, keyla janice.",neutral
"yep, finished, chocked full spelling grammatical errors, i`m cleaning tomorrow popping hehe",negative
hahahha lol true that! always remember bd never remember date even day,neutral
"family here,hanging",neutral
watching ellen love her!! dish tanning ...it`s gorgeous out!,positive
what`s goin hun? i`m worried,negative
im bannished... work till 6,negative
"morning! get see it, i`ll let know. right now, i`m going go see wolverine.",neutral
"red top tabloids, build em up, knock em",neutral
tonight party w/ girl (minus vita),positive
made sad thought you`d jumping joy,neutral
simple a#@,neutral
"pic uploaded baby pic cats. missy adult pretty little kitty, batty kitten heaven",neutral
"saw play here, amazing",positive
_ glad break twitter virginity two.,positive
dinner fam... missed,negative
"_live that`s want. better. bound bad egg though, soon learn.",neutral
hell yeah kellynn got twitter. finally.,neutral
"know worth shot, though!",positive
"opened facebook account, i`m little confused don`t really get it. twitter seems much better",positive
ship. i`m stuck.,negative
dustbin baby 11.30 cannot wait x,positive
"going dwell it. happened, it`s passed. shame supportive! life! x",negative
look like office tv get mlb network... look like mlbn televising det/bal game today,neutral
home empty handed. comic found today. shall indulge cupcake magnolia bakery.,neutral
laying bed til workkk... oh life. definitely pinched nerve.,negative
today busy day. exhausting!,negative
"going go sunday, i`ve got much going weekend",neutral
sorry hear ur flight got cancelled blows!!!,negative
ohh tooth hurt ohh im sad hurt,negative
"get distracted, i`d like thank new follower taking trouble follow me! others: feelin love",positive
u think u bill ha!ii finished paying mine that`s i`m broke,negative
sure didn`t say 2 big. jst saw pic u ur last bday. looked pretty!! miss you!!,neutral
sore throat. planning tet outing marwell though...good time,neutral
mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu,positive
2 day without sleep migraine. thought life postr01 meant relaxing,negative
there!,neutral
?sucks!?..,negative
whens sway sway winner announced?,neutral
k check out...,neutral
"pretty well, wide awake",positive
"want wake early, get coffee tomorrow (today) ! it`s going busyy day! keep writing.. booo whoo!",neutral
miss daddy mommy,negative
"dog officially depressed brother`s dog gone. doesn`t want go outside did, play half-heartedly.",negative
realized can`t forward text msg iphone.,neutral
"frist post... find new car parents, exciting!",positive
argh noo! missed killer wossy! sucks! missed brandon. total failure! anyone know it`s repeated? must investigate!,negative
seriously bored without anyone talk to... tired enough sleep,negative
lost. please help find good home.,negative
"it`s peter & gordon morning -> i, go piece wanna hide / go piece almost die / ever... ?",neutral
ok i`ve got bit bad back lifting drum hardware car downer.,negative
lmao... smh! one threw off.,neutral
oh nice going!,positive
getting ready work... working weekend,neutral
gonna celebrate mother day family gonna start partying tonite,positive
agree you!,positive
computers. hopeless everything else,negative
"90 degrees, gross skies, thunderstorms...perfect match mood lol",positive
_2nd aww thanks!,positive
sorry rb ps3,negative
saw amazing heeels. big,neutral
stuck finger throat bunch bump tongue & throat.,negative
dang last url went ?,negative
"ohoh missed ur tweet im gonna stay awake night see announcement now, **** time difference",negative
damnit all. sucks. one one thought i`d drag back lol,negative
boss. she`s moving nyc,neutral
sooo crazy fever..,negative
spending saturday morning taking note research essay stupid **** recalled book i`m using. fair,negative
think need new friend,neutral
looking forward gig ireland!!! see ya there!,neutral
please review sunehre ad placement,positive
aww loooove,positive
"hungry, twitter. want food. </3",neutral
awesome lucky,positive
"yea, know.. tell everything! ps: send direct message telling.. haha",neutral
"haha im jewish, love one",positive
"great time beer garden wit boyos !! think sun got bit though, feel bit ill !!",neutral
l`m 3 day matt. fun weekend.,negative
u really don`t think so? maybe ur right....lol. btw phone u using? think u told b4...i might app u,neutral
feel pain. mine way,negative
come home two day,neutral
sadly no. didn`t come one...,negative
cant wait see boy tomorrow,positive
ehhh no. check up. dentist app next week though. getting molar pulled/root canal.,neutral
aww miss driving elmwood,negative
omg wango tango **** awsome! love baby taking,positive
"version 2 live, interactive trans-siberian ticket planner launched: - cool",positive
_30439 really wish could go!,positive
"yeah real hard, know you`ll get it... smile",neutral
i`m 25 december that`s good next big birthday 30 21 fly sure,negative
made night!! way funny!!,positive
woo cavs. happy mother`s day!,positive
make face get home mom watching soaps.,neutral
go work now.,neutral
can`t believe went got boba without me.,neutral
"too, today?",neutral
thanks warm welcome! didn`t make plan arrival time air.,positive
19 day counting,neutral
sorry friend - i`m swamped deadline right family visiting boot! charade me.,negative
brainfreeze,neutral
discovered shortcoming gravity. use twitpic (integrated) doesn`t subtract pic url 140 character limit,neutral
"sunburn peeling,",negative
perky purple nail polish isn`t perky chipped,neutral
"- put camera smoker pit. longer vandalize door, without caught.",neutral
laying alone!! since mook`s soo comfy f`n play pen. thought ill first don`t one cuddle with...,negative
hate dentist,negative
"nothing aimed you, joining in...sorry",negative
i`m taking twitter break. cell dying,negative
qood morninq,neutral
writing english original writing storyyyyy. listening `a little respect` erasure aaaaaah.,neutral
need follower,neutral
wish could get nail done stupid job,negative
little wormy labyrinth sadly passed away today ok still around happy ghost form aww,neutral
'no pants' idea could new attempt world-wide attract business back airlines.,neutral
good one,positive
"yep infact popular, miss india 99, talented film actress .... lot",positive
dosen`t want go work tomorrow,negative
daniel dsds. voice great.,positive
[-o] wish birthday massacre would come australia think said they`re thinking tho..,neutral
hoping go red lobster weekend,neutral
_x_atl u mean jack barakat`s?! wow u ever gone house? hehe mean ur ssoo lucky address!,positive
sure hope becomes 4:20 afternoon ...,positive
mean famous. congrats!,positive
phone passed away yesterday.. jumped table searching new phone...,negative
"fantastic friends, including several one met here! thanks life - amazing people!",positive
tamlyn wish cool sock draw,positive
rice crusty bread chili .... aawww,neutral
"like mind evening , dear!",neutral
come save packing please?!,neutral
"yes, love tea. make typically english",positive
mouth sure,positive
_dec0de finally 1 hour history... 3.00 pm! went highschool 8.00 make homework friend,neutral
pancakes!! lemon sugar thanks!,positive
"si, bueno guess don`t entertain :/",negative
i`m hunrgy right heel kill hardly walk,negative
electronic key stopped working. keyhole! cant get car. much technology,negative
"yay, three followers! good know one person big wide world like fishies.",positive
'my name tony!!!!!! ...not hey!!!!' - poor tony,negative
goodmorning,positive
took shift tomorrow. don`t really feel like working right now.,negative
"love mine, . happy mother day mom , john taylor . much love you, .",positive
saw black snake garden. went back picture gone,neutral
- bought ludi rug. dog best,positive
waterfront anymore faccia luna clarendon,negative
love mum much! happy mother day wonderful mother,positive
slipped caught flu feeling like poop!,negative
"urge play wow wait 2 week til im dads! 5+47days til mcfly, im excited (l)",positive
ok ... passenger ... one alive ... they`re dead ... don`t know til end ... cry ...,negative
discovered sharing g reader didn`t even know it. sigh.... i`m g reader newb.,neutral
"chilled tonite, cannot spew venom write funny. seems like 2 style",neutral
"u do, please pray 4 me. lord know need it.",neutral
aaaaaw want live usa,neutral
morning tweeple,positive
"hey, didn`t get !!!",neutral
2 hour sleep... - rest need it.,positive
"make day much better, it`s rough one. mention love new photo!",neutral
don`t want sit home prom night. someone hang,negative
heading home foot surgery wishing boyfriend come cuddle,positive
concert tonight chackin coming tomorrow!,neutral
happened? thought coming back today....,neutral
lol dammit well next time,negative
lol. don`t ever forget,positive
still jealous,negative
- forever 21 ethan couldn`t,negative
im sad im giving first..i didnt nothing!!!! :**-(,negative
week mine easy! finally it`s over! (:,negative
wow beautiful picture... way....i straight....just wanted let know!!! bella,positive
arch. drawing. checking mvcc`s cad degree. look good,positive
"'there people pencils' sharp, sharpened pencil philosophy.....",neutral
"go home. i`m usually `mr. positive` one daze. well, 15 min tomorrow!",neutral
always lee. let`s go paris,neutral
know want come keep company whilst mum`s friend night it`s nice evening!,positive
cooking dad lot fun kitchen together,positive
bouncing rush make feel nauseous,negative
woolsery morning (hopefully) see north molton u16 clinch north devon league title. lovely day,positive
playing singstar without fave duetter,negative
"you`re missing out, bb! i`m cereal nut, think like every kind available.",positive
"that`s weird... :\ oh, drawing me?",negative
woke :o mum singing new gn`r cd replacement bought im good daughter,positive
"bird out,, oh man... that`s cool && didn`t sleep yet night!!!",negative
"250 mile down, 1750 go. thats ok, u2 radio alwas helps.",positive
"street fighter iv skill lacking, can`t beat seth easy.",negative
fil 461 cool people like,positive
good morning!!! work it`s espn`s sunday night baseball. hopefully won`t get rained,positive
think it`s honeymoon good life -- either it`s honey moon joseph arthur.,neutral
son got stung bug first time little finger slightly swollen.,negative
hour ago came in.... it`s realised went buy something online,neutral
oh referring lil exchange lj regard twitter archive postings.,neutral
bumping dj opus drunk car. lmao. don`t act like u don`t know.,negative
kiss foot people kick anything want to? morning everyone! hope best day ever,positive
here`s brief preview: omg james creepy role! i`m scared,negative
i`m missing crab leg attending going away instead!,negative
hick mean!,negative
"gettn ready take trip jersey dad`s good, need new heartwhoeva see`s please say prayer dad",negative
"back soon, need run shop cut grass",neutral
i`m up. plan transform bedroom today. random.,neutral
"home tomorrow. running spinning. time chiropractor, laundry, shopping, visiting family. missing nathan",negative
thats another sponsor,neutral
"u going stuck office, without window",negative
it`s sad. make proud,negative
"sorry, we`ll try keep down.",negative
home alone.. hw,neutral
"according , quarter family six live poverty.",negative
plan spend money going well,negative
uploading bamboozle picture facebook,neutral
congratulation ! guy finish month early do. booo,positive
"actually, wish back tahoe. miss there.",negative
"woke up,i wanna stay bed",neutral
bday june 19.. wack... ihavent seen promotion bday party someone better finagle asap!,negative
"would great vip act i`d enjoy seeing, noooo.",neutral
_marie wish could make too!!! hate commute sometimes,neutral
workin long day today... hopefully make good tip,positive
went quick wasn`t chance lol,negative
hate headaches! maybe i`m ready rock,negative
thanks support,positive
there`s really android twitter app tweetie`s calibre,neutral
"good day driving mountains, visiting katie, eating chip & fudge stocking lovely smelling soap",positive
nyappy mother`s day mom`s.,positive
yeah.... im gonna take ur picture ipod baby..,neutral
traumatizing moment childhood. dog massacred baby bunny brother got bb gun...,negative
lol here....wish way microsize everything...lol,neutral
"'organization ...itil, forget people (and fail)' preaching converted people",negative
"_libertine um, glad enjoyed it...",positive
dinner evening playing cards. already packed ready head home tomorrow go home?,neutral
im allergic cats! tonsil get swollen hurt dooo?!,negative
say feel mama tucking night he`s lonely getting by. tomorrow tough!,negative
miss alot one day,negative
sound like great night . i`m glad successful,positive
thanks sharing,positive
say mlia instead fml hope find soon,positive
"garden going well, almost corn pea up, onion beet yet though.",positive
nah jkin he`s hot! so... bored,neutral
ahhh i`m sqeaky clean fresh. even though i`m wearing dirty clothes love two half men - it`s amazing!,positive
yes read many times.,neutral
cuz play grown twitter?,neutral
living ignorance :@,negative
nope... telling want cameo cream,neutral
awwww we`re gonna miss you!,negative
quite like worthing relaxing place nice coffee shop fresh air.. many oiks,positive
"_terrible haha, new fact couldn`t cost part. kind spock that!",neutral
today lovely day! fun evening!,positive
beto`s pizzeria banksville rd believe beachview area... sorry answer like 100 year later,negative
"sigh, sister bein strange.. came way copenhagen london, phone turned off.. wanna see dammit",negative
amazing,positive
@ barb trying figure dsl aint connecting. need google. going home computer don`t start working soon. smh,neutral
i`m sick sad .... missing martini lounge tonight,negative
seems really quiet tonight...am jealous clearly exciting life bed think...,neutral
really wish spare cash buy new punch wii,negative
"aw, going toronto anymore.",negative
sorry hear mom! really suck,negative
feel hope it`s smooth flight. safe! mucho amor boston!,positive
can`t sleep...so i`m watching hgtv. i`m afraid infomercial take,negative
i`m getting & family ready kaylee`s graduation! it`s gonna make sad.,negative
sweet dream,positive
hay wats ur aim? chat,neutral
. okay kool... might touring summer long make happen!,neutral
pain. big toe got stomped hokey cokeu. it`s throbbing. anyone suggestion heal it?,negative
"time watch op, dead like me, sleep.",neutral
dinner grandma since couldn`t mum.,neutral
haha thanks history invention television influence america lol,positive
yea wassup,neutral
"stupid jobs, idk do.",negative
shopped til dropped....come bac sunshine miss u,negative
"like pics, lucky girl,",positive
thank i`ve anxiety issue year think make first couple day fine.,neutral
around 3 hour left 3 day weekend waaaay much work do.,neutral
feeling loved! mom got nikon cool pix birthday!!!!,positive
"attempt somehow extend inner classes, would close , can`t find ref atm",neutral
yes! join us! require cupcake donation...,neutral
hard time talking new people - pretty sure didn`t make good impression.....,negative
_rc234 haha yup. still terrible headache super swollen puffy eyes! dont think im going today.ugh!,negative
can`t access site!,neutral
sun shinning.........at last,positive
"slowest train ever, stop everywhere. missed quick train minute",negative
nup cd either.. whole bunch zero one free,neutral
graduation day... feel like failure...,neutral
ops lol wasnt supposed got twitter,neutral
"don`t think i`ve ever tierd life.ugh,goodnight.so sleeping tomorrow",negative
u going today girl?,neutral
doesnt want anymore,negative
bad hair day,negative
.....headache,negative
sorry guy didn`t sign sorry every1,negative
"`okay-okay` .. like rest sane population world, hate monday",neutral
mozart`s requiem!,neutral
"think bit, love creation wit physically attracted although great style",neutral
_a_michael hey! thanks another great day! i`m going sleep now! i`ll chat tomorrow! sweet dreams!,positive
"bet cool sr, huh? it`s here. haven`t stopped sweating since noon dad packing",negative
"ohshnapsss. pissed blair usual ? hahah. & yeeeah, bake cooky",neutral
bueno. hollykins need feel better asap. p.s. miss you. done uni soon aren`t you? soproudofyou.,neutral
"- cool! mother awesome hair styles,! wish happy mother`s day!",positive
happy mother`s day mothers.,positive
<---my expression watching again:,neutral
stupid bipolar weather ruined day,negative
didn`t want tell think it`s body odour,negative
nice beta easports still news online madden,neutral
thats pretty bad quality probably worst pic u posted till date,negative
missed call,negative
unfortunately u look like funny people twitter move fb start own...flitter,negative
came back karaoke & eating dinner emily. sooooo much fun,positive
discrimination bad thing. i`ve learned say no. child would say mastered year ago,positive
sure talk....the fabulous **** part though sorry dear,neutral
"see 15 sec clip new moon trailer?? etonline.com ...check out. big tease, though",negative
got back working out. i`m feeling pretty good. work 4:30,positive
ahhh satz blend didn`t save,neutral
"so!!! matter? bet would great it! do!!! it`s love, right? go it!",positive
dh finished making giant trio candy bar. thank heavens. work mate treat tomorrow!,positive
ear popping.,neutral
working diffusing irritation traffic sure isn`t helping mother f! it`s always real bad day th@ help plan stuff,negative
submitted resume day saw answer back. oh well...,negative
catching 2 week lost grey`s!! house quiet again.,neutral
love ryans housewife. make smile.,positive
sooo.....i`m kinda sick n tired b guy dish !!!!!!!!,negative
boo... hoping fake alien story tinfoil covered beachball photo,negative
hey phillll! wazzuppppp?!,neutral
missed westcott micro apollo,negative
.. .great.. buy lunch get 10-15% pay cut next month..,positive
"finally gone beach, yeaaaah!",positive
_ranjan ever mention nice awesome dude are?,positive
"last weekday nothing, school start next week!!!",neutral
hello gorgeous girl! nice new pic! today,positive
ok **** duet hysterical lol,positive
"ok, turn twitter device update get new battery. phone go fully charged dead 5 hour",neutral
michelle hot mama chichi grande,neutral
"either way, always tend make list, sweetie - rock much",positive
one know like boiled peanut t.,neutral
"watched 100th episode numb3rs. loved throwback first episode, using sprinkler theory",positive
i`m sleepy feeling weather! ugh! **** tonsils. need company somebody talk too!,negative
please get cell phone better camera it... picture real bad quality compared miley took,neutral
"_ichigo tried carry aswell, bless, suppose maybe that`s kid shouldn`t it?",positive
"booziest weekend long time, good fun though!",positive
counting hour lost sunshine weekend,negative
